ID,label
107,neutral
5594,neutral
6997,negative
3984,positive
3111,neutral
4040,negative
3013,negative
6606,positive
4219,positive
8749,neutral
5664,neutral
5369,positive
7495,negative
9884,positive
1851,positive
1123,neutral
3043,positive
3369,neutral
6828,negative
10967,positive
3088,positive
9598,negative
9533,positive
9855,neutral
4209,positive
10935,neutral
7279,negative
4687,negative
6876,positive
4919,negative
10956,neutral
8151,positive
10971,positive
9343,positive
2514,neutral
2908,neutral
5937,positive
5014,positive
5733,positive
8473,positive
10713,neutral
2602,negative
9741,negative
2826,negative
1118,negative
3485,positive
2980,negative
10501,positive
8269,negative
8703,neutral
1722,positive
7233,neutral
6747,negative
3948,neutral
5492,neutral
10729,positive
6438,negative
2820,positive
6461,neutral
10005,neutral
4184,negative
9401,neutral
9623,positive
303,negative
33,negative
3274,negative
1941,positive
9115,positive
9281,positive
3522,positive
8298,neutral
8377,neutral
251,positive
9070,positive
9971,neutral
9731,positive
9438,negative
457,negative
2954,positive
1839,negative
10827,neutral
8499,neutral
9557,neutral
1277,neutral
1145,negative
7505,positive
9285,positive
9350,negative
9781,positive
9954,neutral
10088,positive
3204,negative
5812,neutral
5743,negative
8323,negative
7807,neutral
1178,positive
9724,neutral
1793,positive
4453,negative
4747,positive
673,negative
2724,positive
5421,neutral
8573,positive
6292,negative
6630,positive
7073,positive
2221,neutral
5749,positive
5844,negative
10179,neutral
7770,neutral
1623,neutral
10586,positive
883,neutral
9271,neutral
1617,neutral
2492,positive
4696,negative
6925,neutral
1501,negative
9980,negative
9344,negative
2018,positive
10725,negative
1056,negative
4609,neutral
4779,negative
1142,positive
318,neutral
3651,neutral
8679,negative
6010,positive
9849,neutral
3421,negative
5087,positive
2955,neutral
7581,neutral
6947,positive
1454,positive
10572,positive
3593,positive
5527,positive
4194,positive
4614,negative
1453,neutral
1889,negative
8759,positive
3777,negative
8034,positive
8113,positive
5363,neutral
218,neutral
6531,negative
5171,positive
3254,neutral
1576,negative
518,positive
554,neutral
2592,negative
2836,negative
1208,negative
4684,positive
914,positive
2249,positive
6836,neutral
9699,neutral
5517,positive
5239,neutral
3543,negative
3573,positive
3501,negative
2589,neutral
7601,neutral
9989,neutral
2692,positive
8641,negative
6118,negative
9043,positive
3706,neutral
10587,neutral
4601,positive
9571,positive
304,neutral
9583,positive
856,negative
4782,negative
1688,neutral
35,positive
7478,negative
2310,positive
3286,positive
4464,neutral
9073,positive
8128,positive
10755,neutral
5974,positive
9881,positive
5071,negative
6785,negative
10118,neutral
408,negative
6946,positive
1562,neutral
1509,neutral
95,negative
1512,positive
2412,positive
4705,negative
6428,neutral
7865,negative
6200,positive
10847,positive
9075,positive
10742,neutral
1261,positive
3880,neutral
6253,neutral
9903,neutral
7205,positive
1479,negative
9837,neutral
8159,negative
10033,negative
2109,positive
8741,positive
3997,positive
214,negative
10763,positive
3999,positive
5411,negative
5304,negative
9622,positive
4411,neutral
5616,positive
5874,neutral
651,neutral
2348,negative
101,positive
7407,negative
2907,negative
4813,neutral
8847,negative
6983,neutral
2516,positive
9214,negative
4889,negative
7445,negative
3838,positive
9744,negative
2119,neutral
7334,negative
5176,neutral
6366,neutral
1470,positive
5405,positive
5193,negative
1110,positive
6403,negative
6018,positive
3595,positive
8181,neutral
2189,positive
7759,neutral
7454,negative
10189,negative
7988,positive
10592,neutral
2952,neutral
9298,neutral
6818,positive
7335,neutral
6315,positive
8405,neutral
6512,negative
8720,negative
7796,neutral
3958,negative
3592,positive
398,negative
5100,neutral
10538,negative
8249,negative
7754,neutral
1671,positive
8887,neutral
9211,neutral
6112,neutral
3532,negative
8303,positive
360,positive
10124,negative
1010,neutral
10992,neutral
7157,negative
3860,negative
3668,negative
3422,positive
9743,negative
8075,neutral
6977,negative
6603,negative
8468,positive
7142,neutral
4700,negative
9610,negative
4162,negative
8916,negative
8888,negative
8882,negative
1183,neutral
10014,positive
7178,negative
839,neutral
1768,neutral
8097,positive
8065,neutral
3703,positive
7204,neutral
5372,negative
1786,negative
10035,neutral
4934,positive
2108,negative
6311,negative
10249,neutral
866,negative
8523,positive
8416,positive
2609,neutral
10303,positive
5053,neutral
6192,positive
8521,negative
8806,negative
7053,negative
7583,neutral
3707,negative
8978,negative
2245,negative
3231,neutral
4428,positive
7903,neutral
7188,positive
216,positive
10631,positive
8253,neutral
3646,neutral
4429,neutral
2910,positive
4392,negative
10932,positive
4447,negative
3509,negative
1670,positive
694,positive
7210,negative
7162,positive
9535,neutral
795,neutral
9068,negative
4217,positive
1084,neutral
8911,neutral
6972,positive
3418,positive
9912,positive
9476,neutral
5692,positive
346,negative
3288,positive
2199,neutral
10313,positive
9399,negative
3048,neutral
7213,negative
7197,negative
1523,neutral
1683,negative
5500,positive
6918,positive
4872,neutral
621,negative
483,positive
8201,neutral
9586,negative
5025,negative
10858,negative
3058,positive
1121,neutral
747,negative
7530,positive
6222,negative
2628,positive
399,negative
70,negative
1730,neutral
10901,negative
10191,negative
6521,positive
4220,negative
2614,neutral
1281,negative
7129,neutral
4519,positive
608,positive
3739,negative
7887,negative
9196,negative
3404,neutral
6449,neutral
6730,neutral
9248,positive
8568,neutral
4823,positive
5479,negative
5643,negative
4147,positive
7882,negative
9800,positive
10860,positive
1434,negative
2615,neutral
3126,positive
971,positive
6275,positive
3000,positive
4228,neutral
173,positive
592,neutral
6649,negative
3650,negative
10675,positive
3047,negative
6782,neutral
8709,negative
1433,positive
4128,negative
1494,positive
5424,neutral
7036,neutral
10863,neutral
2407,positive
3143,neutral
1393,positive
1732,neutral
1213,neutral
8487,neutral
7091,neutral
4767,neutral
1981,positive
2145,positive
3146,negative
3994,neutral
10148,negative
10870,negative
8528,neutral
900,negative
6349,neutral
9150,neutral
9539,neutral
6663,neutral
6618,neutral
8572,neutral
4694,positive
9654,neutral
6021,positive
7688,negative
2337,neutral
6729,negative
3375,neutral
9243,positive
1595,positive
6077,positive
5266,positive
10116,negative
9291,positive
8290,neutral
2625,neutral
4415,negative
47,negative
9997,negative
39,negative
1597,neutral
7249,positive
9663,neutral
6575,neutral
3244,negative
10594,negative
1594,negative
2519,neutral
1157,negative
8651,negative
434,positive
562,negative
1194,negative
2344,neutral
1530,negative
8307,positive
7273,negative
9256,neutral
2626,negative
2495,neutral
9176,negative
1566,neutral
533,neutral
5264,negative
2075,negative
2138,neutral
761,neutral
6596,neutral
4742,positive
5826,positive
10424,neutral
4354,neutral
8064,neutral
8084,neutral
2254,neutral
2754,neutral
2260,neutral
8544,neutral
3133,positive
8607,negative
2301,positive
740,positive
8288,neutral
5422,negative
2098,negative
4343,neutral
291,positive
7937,neutral
5011,neutral
4607,neutral
4708,neutral
1891,negative
5133,negative
4957,neutral
4029,neutral
330,positive
8361,positive
7623,negative
10526,negative
14,positive
7963,neutral
4047,neutral
10961,positive
487,neutral
10534,negative
10068,positive
9309,negative
8747,neutral
10494,neutral
3827,positive
4329,positive
8973,positive
6249,neutral
668,neutral
6220,positive
2055,neutral
2271,positive
8565,positive
10930,neutral
3614,positive
4338,neutral
265,negative
10996,positive
10183,positive
8169,neutral
9982,negative
9816,negative
4317,negative
1775,negative
510,positive
3393,neutral
2974,positive
3181,positive
850,negative
5389,neutral
10323,negative
6842,positive
6496,negative
5573,neutral
1282,neutral
10801,positive
6556,neutral
4144,neutral
1254,neutral
5090,neutral
7296,negative
7960,positive
8953,positive
6203,negative
8318,positive
5303,neutral
6883,negative
1634,negative
967,negative
7420,positive
6995,negative
6597,neutral
1201,negative
9966,positive
3945,neutral
1833,neutral
1844,neutral
2807,positive
5414,neutral
3538,positive
3238,positive
6651,positive
10047,neutral
3016,neutral
9590,positive
5620,negative
7845,neutral
3353,neutral
1983,neutral
952,neutral
6798,negative
10115,neutral
9257,positive
4065,negative
8681,negative
8025,negative
5566,positive
7868,positive
2351,neutral
367,negative
3544,positive
424,positive
2982,neutral
9841,positive
6909,neutral
4222,negative
6365,neutral
9569,positive
9973,positive
4864,neutral
3508,positive
5900,neutral
6567,negative
4075,positive
135,positive
1691,negative
7557,negative
9703,positive
10724,positive
5121,negative
10489,negative
3132,positive
4064,positive
8756,neutral
10041,positive
7033,neutral
9117,negative
2184,positive
7453,negative
7592,negative
3400,negative
8250,negative
2862,positive
1285,positive
6453,neutral
2685,neutral
4639,positive
3616,positive
927,neutral
3883,positive
5653,negative
6702,neutral
1905,positive
9034,negative
10960,positive
7201,negative
3886,positive
2996,neutral
5117,neutral
10988,negative
3445,negative
9025,neutral
7265,negative
1041,positive
1022,neutral
543,positive
5802,negative
6310,negative
5778,negative
9630,neutral
10235,negative
582,neutral
5563,negative
9943,positive
10891,neutral
1113,neutral
3,neutral
10373,negative
8397,negative
9675,negative
9493,positive
4407,positive
2140,positive
439,positive
7733,neutral
8026,neutral
3061,negative
1180,positive
3251,neutral
7795,positive
8039,negative
2531,positive
88,negative
3855,positive
7103,neutral
10656,positive
1746,neutral
2069,negative
10102,positive
8715,neutral
9802,positive
2238,negative
10585,negative
2903,positive
4058,negative
4518,neutral
5098,positive
1803,neutral
5386,positive
8760,positive
9534,positive
4721,neutral
4768,negative
4772,negative
10366,neutral
6962,neutral
5323,neutral
710,positive
2771,neutral
3685,negative
407,neutral
2152,positive
2855,positive
6041,neutral
6322,positive
9734,negative
7614,neutral
6613,negative
9640,neutral
1160,positive
10744,positive
10912,positive
8280,negative
8851,negative
10140,positive
10024,positive
2317,negative
5022,negative
3562,negative
6030,neutral
2691,neutral
3219,negative
6389,neutral
1870,negative
2791,neutral
3411,positive
5687,positive
9290,neutral
10816,positive
5349,positive
7881,neutral
7741,positive
9434,neutral
1496,negative
5064,neutral
2929,negative
131,positive
2340,positive
1650,negative
3125,positive
7090,positive
96,positive
774,positive
5746,neutral
311,positive
6375,neutral
2909,positive
8560,neutral
700,neutral
10528,neutral
469,positive
5312,positive
8217,negative
8131,negative
5751,positive
119,neutral
6436,neutral
3405,positive
1350,positive
5709,neutral
7313,neutral
2762,neutral
1533,negative
5987,positive
5480,negative
10719,neutral
3434,positive
7660,positive
4315,neutral
4816,neutral
2684,positive
3065,neutral
8698,neutral
563,positive
9426,positive
6211,neutral
8293,negative
4387,negative
960,neutral
5890,positive
9449,positive
4483,neutral
8441,negative
9112,positive
2009,negative
3885,neutral
6025,neutral
5526,neutral
2107,neutral
2124,neutral
4991,positive
1383,positive
6734,neutral
10135,neutral
333,neutral
7935,positive
8642,negative
5556,positive
8475,neutral
3872,negative
4450,negative
1284,neutral
450,neutral
2906,negative
7536,positive
7399,positive
5909,negative
8510,neutral
293,positive
3647,neutral
10597,neutral
9153,positive
9237,positive
1578,positive
5963,positive
6648,positive
1408,neutral
8701,negative
8252,neutral
5382,positive
9544,positive
852,positive
4245,negative
8988,negative
4401,positive
5532,positive
5964,positive
10663,positive
7092,neutral
8383,neutral
8762,positive
10192,negative
3329,negative
7636,neutral
7900,negative
5545,positive
2270,negative
9955,neutral
1149,negative
9790,negative
10658,negative
3937,neutral
7520,negative
3570,negative
7300,negative
500,neutral
8627,positive
9030,negative
5364,neutral
8177,positive
932,negative
9875,positive
10107,positive
7563,neutral
10053,negative
4074,negative
8816,positive
259,neutral
5277,negative
50,positive
3705,positive
9193,neutral
4874,positive
10468,neutral
4532,positive
5465,negative
1147,neutral
4740,positive
4028,positive
8136,positive
624,negative
6067,negative
7024,negative
5614,positive
4608,positive
1068,negative
7921,negative
9096,positive
9079,neutral
3299,negative
2360,neutral
7074,neutral
7646,positive
2459,negative
8582,positive
4326,positive
8268,negative
9868,negative
4676,positive
3621,positive
7787,neutral
3349,negative
9820,positive
9885,negative
10770,positive
10671,positive
10078,neutral
7347,negative
10467,neutral
5990,neutral
9185,negative
2085,negative
3118,positive
3215,positive
2627,negative
2215,neutral
1835,positive
7298,neutral
10455,negative
6712,neutral
3094,positive
7134,neutral
8909,positive
4094,neutral
1655,positive
895,negative
6173,neutral
2629,neutral
765,neutral
4092,neutral
3620,negative
6300,neutral
461,negative
4265,positive
5145,neutral
5769,negative
4271,neutral
1703,negative
8409,neutral
3889,neutral
2168,neutral
3063,positive
1896,neutral
9846,positive
565,positive
6769,positive
8224,positive
6676,neutral
3852,neutral
2742,negative
9354,neutral
8773,negative
6422,negative
5503,positive
9992,positive
169,neutral
4618,neutral
3455,positive
5152,neutral
6466,negative
7235,negative
5853,negative
7017,neutral
7089,neutral
1373,positive
3468,positive
9218,neutral
10948,positive
8035,positive
10963,positive
10453,neutral
8200,neutral
3755,positive
7820,negative
321,positive
5127,neutral
426,neutral
4631,neutral
427,positive
9537,negative
6508,neutral
4477,neutral
1516,neutral
4156,negative
10908,neutral
5833,neutral
7539,negative
7382,neutral
80,negative
2930,positive
2325,neutral
4292,negative
4333,negative
6824,neutral
1250,neutral
335,negative
1883,neutral
10842,negative
2406,negative
3529,neutral
2998,negative
2377,neutral
3635,negative
5576,negative
8347,neutral
8170,negative
7655,negative
3656,positive
7168,positive
8774,positive
7540,neutral
10897,positive
1413,neutral
31,negative
7442,neutral
5456,negative
5354,neutral
10684,negative
6838,negative
5081,neutral
9202,positive
6862,positive
4682,neutral
7765,neutral
9452,neutral
373,negative
5646,positive
9441,positive
3469,positive
5317,neutral
5065,positive
4165,positive
9234,neutral
3316,positive
6335,positive
10502,negative
4985,neutral
4414,positive
10934,negative
8622,negative
10838,negative
5034,negative
6535,negative
8784,neutral
5648,positive
315,positive
3921,positive
1669,negative
5502,negative
8613,negative
2405,negative
8516,neutral
4525,neutral
7441,positive
1406,positive
3798,positive
5294,positive
10621,neutral
3025,positive
2611,neutral
4724,negative
4475,positive
6889,positive
3139,negative
7831,positive
3949,neutral
3284,neutral
8637,negative
5028,positive
6463,neutral
1692,neutral
6800,negative
1952,negative
7012,neutral
713,neutral
1579,neutral
937,negative
2995,negative
1087,positive
2357,neutral
5992,negative
3031,neutral
8327,negative
9468,negative
3971,neutral
3027,negative
881,negative
4754,neutral
6307,positive
9324,neutral
4830,negative
6998,neutral
6820,neutral
6433,neutral
3931,positive
4269,positive
10430,negative
3012,neutral
5579,negative
532,neutral
5396,negative
10403,negative
2714,positive
6380,positive
4403,negative
2631,positive
1710,positive
10271,neutral
8008,positive
1785,neutral
4052,neutral
958,neutral
3022,negative
2984,negative
733,negative
8881,negative
10083,negative
7477,neutral
6948,neutral
3334,positive
9389,neutral
3955,neutral
8558,positive
3077,negative
1193,positive
10762,positive
542,negative
4537,neutral
8183,positive
7562,positive
10909,neutral
2127,negative
5151,negative
10177,negative
4923,negative
4149,neutral
10924,neutral
7108,positive
8197,negative
4540,positive
7545,positive
6886,neutral
3698,neutral
9646,negative
2846,positive
10601,neutral
4102,positive
10098,positive
295,neutral
3006,positive
2638,neutral
3287,positive
286,negative
210,neutral
6129,neutral
6848,positive
10711,negative
5773,positive
9388,negative
1713,neutral
549,negative
6050,negative
676,positive
4104,neutral
2865,positive
8850,neutral
7278,negative
3817,negative
6363,negative
6191,negative
5012,negative
2167,positive
9970,positive
3290,negative
4215,positive
10408,neutral
2992,negative
3495,neutral
10065,positive
8031,positive
9660,positive
1825,neutral
5501,negative
3673,neutral
5079,positive
9114,neutral
1744,positive
8425,neutral
5945,negative
5030,positive
8301,neutral
10633,positive
5361,negative
2020,positive
4419,positive
1432,neutral
7983,positive
9061,negative
9363,negative
2088,positive
6931,positive
8545,negative
8276,neutral
3281,negative
10399,positive
8403,negative
4119,neutral
467,neutral
8668,positive
7169,negative
10207,neutral
9002,neutral
1780,positive
4509,negative
106,neutral
10708,negative
7809,neutral
590,negative
1904,neutral
5706,negative
7665,neutral
5707,neutral
8093,neutral
4226,positive
4894,negative
5641,negative
6903,positive
9315,positive
10664,positive
8055,neutral
2447,positive
6550,neutral
3090,neutral
1984,neutral
3658,neutral
7229,neutral
5344,positive
10254,neutral
9656,positive
10165,negative
6839,positive
4030,negative
10950,negative
8018,negative
8262,neutral
7438,positive
8299,positive
29,neutral
5452,positive
3160,negative
2036,positive
465,neutral
8617,positive
5968,neutral
568,negative
3679,neutral
3050,negative
4385,neutral
1245,negative
217,neutral
3989,neutral
9738,negative
1766,neutral
108,positive
10013,positive
2154,negative
5180,neutral
7861,neutral
1864,negative
4480,negative
7647,positive
3467,positive
6608,negative
10794,positive
1090,neutral
7590,negative
4786,negative
7917,neutral
4771,neutral
3325,negative
7866,neutral
8700,positive
8015,positive
3355,negative
3761,neutral
4914,positive
7550,positive
10213,neutral
7642,neutral
9295,negative
4513,negative
6029,negative
6808,neutral
10775,negative
4573,positive
5822,positive
4722,negative
6152,negative
9219,negative
576,positive
6338,positive
6110,negative
6620,neutral
5942,neutral
410,positive
6692,neutral
10008,neutral
4726,positive
7063,neutral
5597,negative
10,neutral
4457,negative
6558,positive
1217,neutral
4960,negative
6023,negative
718,negative
2899,neutral
5494,negative
7997,positive
9965,positive
736,positive
735,neutral
3891,negative
9546,negative
2487,positive
1457,negative
92,neutral
8912,neutral
10354,positive
10155,positive
6658,negative
6825,positive
8206,negative
496,positive
4702,positive
6750,neutral
8829,negative
8639,negative
1206,positive
1458,positive
1175,neutral
9103,negative
2288,positive
1626,positive
1195,neutral
9668,positive
5292,neutral
7315,neutral
6435,neutral
1369,positive
8251,negative
6161,positive
288,neutral
1662,neutral
7292,positive
4924,neutral
5282,negative
10427,negative
9304,positive
4902,positive
388,negative
836,neutral
3068,negative
3038,neutral
8011,negative
6568,positive
9378,neutral
2210,positive
8835,neutral
1472,positive
8059,negative
1112,negative
6271,neutral
8960,neutral
4374,negative
2389,positive
267,negative
3526,positive
3813,positive
6013,neutral
7359,positive
10101,neutral
3834,negative
5378,neutral
5521,negative
4463,negative
4262,positive
416,neutral
6805,positive
3105,negative
8284,positive
1783,positive
3933,positive
5270,neutral
8091,positive
2328,positive
8959,neutral
4706,positive
7615,negative
7127,negative
2816,positive
8,neutral
7275,positive
468,negative
9220,negative
7290,positive
2680,positive
7200,neutral
921,negative
1923,positive
8396,positive
4575,positive
2935,neutral
3704,neutral
6489,neutral
8575,positive
4551,negative
6179,neutral
3979,neutral
6392,positive
1950,neutral
6978,neutral
7947,negative
3684,negative
970,positive
794,positive
730,neutral
10852,neutral
2455,neutral
8390,neutral
9092,negative
8121,neutral
2943,neutral
5440,positive
4993,positive
2232,neutral
3680,negative
8243,positive
10734,positive
7072,neutral
704,negative
9803,positive
3272,positive
9532,positive
245,positive
4848,neutral
10616,neutral
1078,negative
8645,negative
9587,positive
10000,neutral
4824,neutral
1498,negative
8889,negative
8418,negative
10676,positive
2709,positive
4572,negative
1111,negative
9433,negative
3787,positive
10171,neutral
9950,negative
1511,neutral
248,negative
7740,positive
10282,negative
63,positive
8076,positive
3305,neutral
6225,negative
9495,neutral
1486,positive
7244,negative
8350,neutral
3396,neutral
4511,negative
9386,negative
1355,positive
3688,negative
3403,negative
4277,neutral
1330,neutral
2425,negative
1002,negative
8598,negative
6840,positive
2391,neutral
5598,negative
1082,negative
3773,negative
10396,positive
1039,negative
6383,neutral
10810,positive
1026,negative
263,positive
3942,negative
1247,positive
9673,neutral
7538,positive
655,negative
623,negative
10525,neutral
9051,neutral
6874,neutral
9953,neutral
2388,negative
2582,neutral
5956,neutral
7631,neutral
1791,positive
8040,neutral
1166,neutral
1107,positive
10747,negative
8272,positive
10259,negative
6057,positive
5195,negative
8832,negative
577,positive
8324,neutral
8723,positive
4881,neutral
4549,neutral
9065,positive
10022,neutral
7450,positive
3037,positive
8738,neutral
5302,positive
6131,neutral
1954,positive
409,negative
4803,positive
4541,positive
76,negative
3833,negative
8605,neutral
10607,negative
8518,positive
6690,negative
6385,positive
9338,neutral
4375,negative
9408,neutral
4238,positive
2484,positive
3837,neutral
1718,neutral
93,neutral
3100,positive
6878,negative
683,positive
3784,positive
647,negative
3053,neutral
714,negative
9485,neutral
1076,positive
290,negative
4643,negative
9370,positive
8305,negative
2227,neutral
8524,positive
4619,neutral
9279,negative
7465,positive
1488,positive
10495,negative
8054,negative
9019,neutral
7908,positive
7379,negative
2458,positive
10510,neutral
5144,positive
3247,neutral
9014,negative
6270,neutral
3772,positive
185,negative
4898,positive
8108,negative
10238,negative
5403,neutral
5696,neutral
6720,negative
19,negative
1297,positive
8631,positive
4560,neutral
3314,positive
8469,neutral
3528,positive
8537,negative
4773,neutral
7727,positive
8618,positive
3187,negative
10358,neutral
5286,neutral
10225,positive
381,neutral
3465,negative
9483,positive
4303,negative
1795,positive
9698,positive
7662,neutral
4273,positive
2868,neutral
7028,neutral
8182,negative
1253,neutral
6835,neutral
3279,neutral
2239,neutral
8675,negative
9736,positive
7628,neutral
415,neutral
9752,negative
2191,negative
7773,neutral
1965,positive
8671,negative
3542,neutral
7893,negative
1608,neutral
4404,neutral
10462,negative
3433,positive
9801,positive
6639,neutral
5365,neutral
8771,positive
7391,negative
3378,negative
530,positive
1368,positive
10361,positive
6853,positive
5505,positive
4584,positive
5739,negative
2157,neutral
1437,neutral
6945,negative
7535,positive
3790,negative
9166,neutral
274,negative
144,neutral
4023,positive
1862,negative
7259,negative
7277,negative
9139,negative
7487,neutral
4123,negative
6961,positive
758,neutral
5398,neutral
5412,positive
3169,negative
7619,positive
4977,neutral
5204,negative
3819,neutral
2732,positive
8764,neutral
1807,neutral
788,negative
9513,positive
9040,negative
6107,positive
5418,neutral
1402,neutral
5712,negative
6719,positive
4071,negative
10187,neutral
8345,negative
2236,negative
1758,negative
6357,negative
6133,negative
2848,neutral
5489,negative
431,neutral
6248,negative
0,positive
3295,negative
1805,negative
4641,neutral
349,neutral
1747,positive
5157,neutral
4665,negative
5629,positive
7146,positive
10640,negative
4398,negative
6795,negative
4995,negative
3312,positive
4981,negative
4060,neutral
3307,negative
8772,neutral
9228,neutral
1935,negative
1155,positive
6301,neutral
1953,negative
10843,neutral
2620,neutral
5228,positive
3678,neutral
10227,neutral
8098,neutral
708,negative
3898,neutral
9695,neutral
916,negative
10338,neutral
6419,negative
6177,positive
7008,positive
1616,negative
4438,negative
9059,positive
7247,negative
6851,neutral
4602,negative
6845,negative
4295,negative
908,negative
2991,positive
4417,neutral
8724,negative
620,negative
7751,positive
9157,negative
9597,neutral
2588,negative
6714,neutral
782,neutral
3464,negative
1156,neutral
1536,negative
4382,neutral
5615,positive
10376,negative
6210,positive
316,negative
9377,positive
9643,negative
3024,neutral
3207,negative
379,positive
4093,neutral
3615,negative
4949,negative
1971,neutral
4838,neutral
7940,negative
9346,positive
2030,neutral
3693,neutral
4035,negative
2315,positive
10222,neutral
3826,neutral
5003,positive
10619,neutral
2664,negative
4533,positive
7682,neutral
4210,positive
103,neutral
2818,negative
3533,neutral
10721,positive
6537,positive
4046,negative
4870,negative
1731,neutral
6679,neutral
5340,neutral
5829,neutral
6784,negative
5800,positive
5554,neutral
756,neutral
9325,positive
2478,negative
10649,neutral
10552,positive
2464,positive
6582,positive
4871,neutral
2039,positive
7840,neutral
9905,positive
8410,negative
8112,neutral
10588,neutral
7389,negative
5165,neutral
4685,negative
4337,neutral
7703,negative
4975,neutral
6151,negative
9195,positive
6485,positive
8373,neutral
3601,negative
567,negative
5674,neutral
2894,negative
9356,positive
3154,positive
6348,negative
8494,positive
6408,neutral
440,neutral
10551,neutral
9284,negative
2457,positive
9526,neutral
9443,positive
7328,positive
8791,neutral
2586,positive
1660,negative
10144,negative
7814,neutral
7709,negative
1224,positive
4789,positive
1593,negative
9749,neutral
1199,neutral
8919,neutral
764,positive
9931,neutral
6666,neutral
3011,neutral
5190,negative
36,neutral
3263,negative
10920,negative
4842,negative
6954,positive
8119,negative
2564,negative
9490,negative
7281,negative
3352,neutral
7836,neutral
7502,positive
4299,neutral
2847,neutral
5245,positive
9553,negative
1351,positive
10958,neutral
10861,negative
6860,positive
7038,negative
1360,neutral
3344,negative
6206,negative
6592,positive
486,negative
7969,positive
7065,negative
3963,neutral
2216,neutral
3034,positive
9351,negative
8088,positive
8610,neutral
637,negative
1071,neutral
7885,neutral
6743,negative
8894,neutral
1190,neutral
6387,positive
4797,negative
7238,neutral
2922,positive
149,neutral
2473,neutral
9612,positive
2927,neutral
4955,neutral
167,negative
1915,negative
9782,neutral
5662,positive
3071,negative
2150,neutral
7367,neutral
2012,negative
1584,positive
8375,negative
801,positive
7621,neutral
10686,negative
5875,positive
5967,negative
7401,neutral
742,neutral
5804,positive
4680,negative
10036,negative
8644,negative
2986,negative
633,neutral
10170,positive
7600,negative
10291,positive
3905,negative
7572,positive
1964,positive
4622,positive
799,neutral
3412,negative
1885,positive
5438,positive
6069,negative
715,positive
8199,negative
1210,positive
5857,negative
3457,negative
10557,negative
10286,neutral
3842,positive
4884,neutral
6367,neutral
7871,positive
9462,positive
4169,neutral
1188,positive
9182,negative
4095,positive
5920,positive
9362,neutral
586,neutral
9353,neutral
4043,positive
6073,positive
2319,neutral
10603,positive
2174,positive
4192,neutral
9319,negative
8690,negative
1740,neutral
3082,positive
10350,negative
7308,neutral
5695,positive
1886,negative
9306,positive
23,negative
4170,positive
9684,neutral
10054,negative
5106,neutral
7685,positive
7747,neutral
7738,neutral
10589,negative
8956,neutral
10066,negative
1427,neutral
789,positive
9225,positive
3585,negative
1347,neutral
10464,neutral
2128,neutral
5170,positive
6916,neutral
8611,positive
10828,neutral
4759,negative
10991,positive
2960,negative
5261,positive
8871,negative
6982,negative
1418,neutral
2858,negative
7443,neutral
605,positive
1957,negative
2252,negative
4829,neutral
10508,positive
993,positive
5799,negative
5748,negative
4077,positive
5250,positive
9568,positive
10445,neutral
9402,neutral
2678,positive
6085,negative
10936,positive
3859,neutral
7689,neutral
5487,positive
4012,negative
9393,negative
6196,neutral
6345,neutral
7931,positive
7377,negative
3069,positive
6584,negative
2648,neutral
1310,negative
2465,positive
8489,neutral
5940,positive
5006,neutral
2613,positive
9236,neutral
8962,negative
8312,neutral
1315,negative
2183,neutral
10095,negative
4598,neutral
8777,negative
1339,positive
5061,positive
738,neutral
965,neutral
252,negative
872,negative
4885,neutral
9759,neutral
4140,positive
10365,positive
8440,neutral
2452,positive
2948,neutral
8758,positive
3370,neutral
6967,neutral
6400,neutral
7040,negative
6968,negative
10360,neutral
10788,positive
447,positive
7412,neutral
56,neutral
5265,neutral
476,negative
2585,negative
5580,positive
6899,neutral
8868,negative
7354,negative
6522,negative
8522,neutral
750,negative
7720,neutral
3938,neutral
376,neutral
10475,neutral
9518,negative
3131,neutral
10987,positive
8864,positive
9972,positive
3794,positive
5461,positive
4129,negative
6364,neutral
10488,positive
6480,negative
3166,negative
6346,negative
9057,neutral
6243,neutral
227,neutral
4630,neutral
10821,neutral
1508,positive
9190,negative
9828,neutral
1684,positive
499,negative
5676,neutral
5786,neutral
1877,positive
2913,neutral
513,neutral
4359,positive
4833,positive
6671,positive
2753,positive
10435,negative
474,neutral
4808,positive
2312,negative
6186,neutral
3080,positive
480,neutral
10466,positive
8606,negative
4610,neutral
2453,negative
7236,positive
10710,neutral
8661,neutral
4048,positive
1349,negative
8993,positive
2498,neutral
8134,positive
8584,neutral
5033,negative
1606,positive
4132,neutral
8779,negative
4067,positive
1446,neutral
8934,negative
1020,neutral
705,positive
5807,negative
1866,neutral
6157,neutral
2417,positive
2122,neutral
8910,positive
1921,neutral
4007,neutral
5159,negative
2507,positive
1419,positive
7959,negative
6393,positive
2025,neutral
594,neutral
1558,negative
9414,positive
4076,neutral
7925,negative
2058,negative
6885,neutral
3909,positive
10547,positive
10316,neutral
5649,neutral
